iata,lat,lng,country,name,city
UTK,11.222219,169.851429,MH,Utirik Airport,Utirik Island
OCA,25.325399398804,-80.274803161621,US,Ocean Reef Club Airport,Key Largo
CUX,27.7211,-97.512802,US,Cuddihy Field,Corpus Christi
CSE,38.851918,-106.928341,US,Crested Butte Airpark,Crested Butte
CUS,31.823898,-107.629924,US,Columbus Airport,Columbus
JCY,30.251801,-98.622498,US,LBJ Ranch Airport,Stonewall
NUP,60.905591,-162.440454,US,Nunapitchuk Airport,Nunapitchuk
ICY,59.966269,-141.660118,US,Icy Bay Airport,Icy Bay
KKK,64.4166256967,-156.820392609,US,Kalakaket Creek AS Airport,Kalakaket Creek
MHS,41.263199,-122.272003,US,Dunsmuir Muni-Mott Airport,Dunsmuir
NIR,28.362444,-97.661917,US,Chase Field Industrial Airport,Beeville
GCT,36.258614,-113.231159,US,Grand Canyon Bar Ten Airstrip,Littlefield
LVD,61.3591003418,-155.440002441,US,Lime Village Airport,Lime Village
HGZ,66.176133,-155.684816,US,Hog River Airport,Hogatza
OTN,38.851782,-87.49987,US,Ed-Air Airport,Oaktown
TLF,63.393901824951,-153.26899719238,US,Telida Airport,Telida
BZT,28.982200622559,-95.579696655273,US,Eagle Air Park,Brazoria
BYW,48.579162,-122.823844,US,Blakely Island Airport,Blakely Island
DRF,60.588901519800004,-152.162002563,US,Drift River Airport,Kenai
BDF,41.230899810800004,-89.61569976810001,US,Rinkenberger Restricted Landing Area,Bradford
TEH,63.124618,-142.518005,US,Tetlin Airport,Tetlin
VRS,38.427799224854,-92.875198364258,US,Roy Otten Memorial Airfield,Versailles
ATT,60.866699,-162.272996,US,Atmautluak Airport,Atmautluak
LIV,65.467,-148.6534,US,Livengood Camp Airport,Livengood
PDB,59.796925,-154.129994,US,Pedro Bay Airport,Pedro Bay
KOZ,57.942094,-152.464314,US,Ouzinkie Airport,Ouzinkie
TNK,60.569638,-165.246649,US,Tununak Airport,Tununak
MNT,65.147991,-149.368658,US,Minto Al Wright Airport,Minto
WKK,59.2826004028,-158.617996216,US,Aleknagik / New Airport,Aleknagik
RFK,32.953543,-90.845144,US,Rollang Field,Rolling Fork
NNK,58.735633,-157.02216,US,Naknek Airport,Naknek
BCS,29.866078,-90.021608,US,Southern Seaplane Airport,Belle Chasse
MMN,42.460298,-71.519031,US,Minute Man Air Field,Stow
BWL,36.7958984375,-97.3170013428,US,Earl Henry Airport,Blackwell
CWS,48.490046,-122.831612,US,Center Island Airport,Center Island
TEK,60.871449,-146.690297,US,Tatitlek Airport,Tatitlek
DUF,36.252744,-75.785256,US,Pine Island Airport,Corolla
SSW,48.673379,-123.175439,US,Stuart Island Airpark,Friday Harbor
FOB,39.472445,-123.795319,US,Fort Bragg Airport,Fort Bragg
AXB,44.312002,-75.90034,US,Maxson Airfield,Alexandria Bay
REE,33.590301513672,-102.03700256348,US,Reese Airpark,Lubbock
WDN,48.71141,-123.018208,US,Waldron Airstrip,Eastsound
CHU,61.579102,-159.216003,US,Chuathbaluk Airport,Chuathbaluk
UGS,57.523476,-157.396344,US,Ugashik Airport,Ugashik
KLL,59.12606,-156.860906,US,Levelock Airport,Levelock
WTL,60.351243,-162.654476,US,Tuntutuliak Airport,Tuntutuliak
TWA,59.074713,-160.274992,US,Twin Hills Airport,Twin Hills
KCQ,56.2550010681,-158.774993896,US,Chignik Lake Airport,Chignik Lake
AAD,6.095802,46.6375,SO,Adado Airport,Adado
ABP,-6.06462,141.095173,PG,Atkamba Airport,Atkamba Mission
ACM,-2.143713,-71.75935,CO,Arica Airport,Arica
ADV,11.4023,26.1186,SD,El Daein Airport,El Daein
AEE,10.053611,32.959444,SS,Adareil Airport,Adar
AEQ,43.908407,120.15099,CN,Ar Horqin Airport,Chifeng
AFT,-9.191389,160.948611,SB,Afutara Aerodrome,Bila
RNA,-9.86054358262,161.979546547,SB,Ulawa Airport,Arona
ATD,-8.87333,161.011002,SB,Uru Harbour Airport,Atoifi
